Date/Time,23_04_19,17:17,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,27.9,,
Results,,,
Time,Green,Blue,Ratio
 0.50,65.00,190.00, 0.34
 1.00,300.00,1068.00, 0.28
 1.50,284.00,1167.00, 0.24
 2.00,282.00,1127.00, 0.25
 2.50,284.00,1145.00, 0.25
 3.00,285.00,1169.00, 0.24
 3.50,281.00,1210.00, 0.23
 4.00,266.00,1114.00, 0.24
 4.50,270.00,1178.00, 0.23
 5.00,300.00,1172.00, 0.26
 5.50,290.00,1162.00, 0.25
 6.00,304.00,1255.00, 0.24
 6.50,304.00,1233.00, 0.25
 7.00,309.00,1175.00, 0.26
 7.50,310.00,1160.00, 0.27
 8.00,264.00,1128.00, 0.23
 8.50,319.00,1132.00, 0.28
 9.00,284.00,1115.00, 0.25
 9.50,285.00,1309.00, 0.22
10.00,324.00,1268.00, 0.26
10.50,307.00,1147.00, 0.27
11.00,318.00,1272.00, 0.25
11.50,264.00,1213.00, 0.22
12.00,318.00,1234.00, 0.26
12.50,277.00,1157.00, 0.24
13.00,270.00,1136.00, 0.24
13.50,311.00,1190.00, 0.26
14.00,316.00,1209.00, 0.26
14.50,310.00,1174.00, 0.26
15.00,298.00,1199.00, 0.25
15.50,314.00,1189.00, 0.26
16.00,331.00,1236.00, 0.27
16.50,306.00,1140.00, 0.27
17.00,356.00,1197.00, 0.30
17.50,305.00,1218.00, 0.25
18.00,340.00,1229.00, 0.28
18.50,298.00,1178.00, 0.25
19.00,309.00,1161.00, 0.27
19.50,311.00,1128.00, 0.28
20.00,330.00,1162.00, 0.28
20.50,378.00,1184.00, 0.32
21.00,322.00,1170.00, 0.28
21.50,332.00,1180.00, 0.28
22.00,306.00,1211.00, 0.25
22.50,310.00,1209.00, 0.26
23.00,343.00,1135.00, 0.30
23.50,316.00,1248.00, 0.25
24.00,358.00,1147.00, 0.31
24.50,300.00,1200.00, 0.25
25.00,338.00,1161.00, 0.29
25.50,336.00,1140.00, 0.29
26.00,338.00,1246.00, 0.27
26.50,332.00,1161.00, 0.29
27.00,336.00,1169.00, 0.29
27.50,336.00,1190.00, 0.28
28.00,316.00,1135.00, 0.28
28.50,318.00,1209.00, 0.26
29.00,307.00,1205.00, 0.25
29.50,372.00,1149.00, 0.32
30.00,339.00,1234.00, 0.27
30.50,351.00,1127.00, 0.31
31.00,372.00,1134.00, 0.33
31.50,331.00,1173.00, 0.28
32.00,326.00,1185.00, 0.28
32.50,325.00,1138.00, 0.29
33.00,332.00,1179.00, 0.28
33.50,363.00,1157.00, 0.31
34.00,320.00,1229.00, 0.26
34.50,377.00,1173.00, 0.32
35.00,318.00,1197.00, 0.27
35.50,350.00,1177.00, 0.30
36.00,364.00,1180.00, 0.31
36.50,304.00,1160.00, 0.26
37.00,337.00,1172.00, 0.29
37.50,358.00,1211.00, 0.30
38.00,389.00,1199.00, 0.32
38.50,327.00,1153.00, 0.28
39.00,354.00,1202.00, 0.29
39.50,341.00,1167.00, 0.29
40.00,350.00,1186.00, 0.30
40.50,335.00,1226.00, 0.27
41.00,331.00,1189.00, 0.28
41.50,342.00,1178.00, 0.29
42.00,307.00,1178.00, 0.26
42.50,340.00,1170.00, 0.29
43.00,317.00,1104.00, 0.29
43.50,342.00,1169.00, 0.29
44.00,368.00,1259.00, 0.29
44.50,349.00,1173.00, 0.30
45.00,379.00,1170.00, 0.32
45.50,349.00,1205.00, 0.29
46.00,363.00,1213.00, 0.30
46.50,362.00,1184.00, 0.31
47.00,384.00,1176.00, 0.33
47.50,366.00,1177.00, 0.31
48.00,386.00,1136.00, 0.34
48.50,357.00,1088.00, 0.33
49.00,357.00,1182.00, 0.30
49.50,370.00,1100.00, 0.34
50.00,381.00,1120.00, 0.34
50.50,376.00,1152.00, 0.33
51.00,351.00,1170.00, 0.30
51.50,387.00,1120.00, 0.35
52.00,388.00,1208.00, 0.32
52.50,377.00,1114.00, 0.34
53.00,392.00,1157.00, 0.34
53.50,370.00,1137.00, 0.33
54.00,387.00,1167.00, 0.33
54.50,362.00,1128.00, 0.32
55.00,370.00,1167.00, 0.32
55.50,408.00,1182.00, 0.35
56.00,393.00,1169.00, 0.34
56.50,397.00,1121.00, 0.35
57.00,382.00,1157.00, 0.33
57.50,379.00,1093.00, 0.35
58.00,412.00,1176.00, 0.35
58.50,363.00,1166.00, 0.31
59.00,345.00,1157.00, 0.30
59.50,385.00,1193.00, 0.32
60.00,391.00,1166.00, 0.34
60.50,391.00,1179.00, 0.33
61.00,384.00,1213.00, 0.32
61.50,430.00,1185.00, 0.36
62.00,410.00,1154.00, 0.36
62.50,379.00,1189.00, 0.32
63.00,387.00,1174.00, 0.33
63.50,443.00,1169.00, 0.38
64.00,425.00,1212.00, 0.35
64.50,390.00,1189.00, 0.33
65.00,375.00,1183.00, 0.32
65.50,400.00,1144.00, 0.35
66.00,422.00,1154.00, 0.37
66.50,408.00,1212.00, 0.34
67.00,397.00,1130.00, 0.35
67.50,397.00,1195.00, 0.33
68.00,425.00,1140.00, 0.37
68.50,352.00,1174.00, 0.30
69.00,400.00,1145.00, 0.35
69.50,418.00,1139.00, 0.37
