Date/Time,23_04_19,16:50,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,28.0,,
Results,,,
Time,Green,Blue,Ratio
 0.50,137.00,302.00, 0.45
 1.00,512.00,1306.00, 0.39
 1.50,547.00,1369.00, 0.40
 2.00,565.00,1232.00, 0.46
 2.50,557.00,1346.00, 0.41
 3.00,562.00,1286.00, 0.44
 3.50,541.00,1363.00, 0.40
 4.00,549.00,1371.00, 0.40
 4.50,495.00,1425.00, 0.35
 5.00,565.00,1377.00, 0.41
 5.50,546.00,1338.00, 0.41
 6.00,586.00,1370.00, 0.43
 6.50,531.00,1395.00, 0.38
 7.00,545.00,1390.00, 0.39
 7.50,532.00,1426.00, 0.37
 8.00,617.00,1372.00, 0.45
 8.50,587.00,1403.00, 0.42
 9.00,582.00,1425.00, 0.41
 9.50,595.00,1402.00, 0.42
10.00,541.00,1395.00, 0.39
10.50,561.00,1370.00, 0.41
11.00,606.00,1435.00, 0.42
11.50,583.00,1451.00, 0.40
12.00,588.00,1415.00, 0.42
12.50,557.00,1343.00, 0.41
13.00,536.00,1410.00, 0.38
13.50,569.00,1376.00, 0.41
14.00,579.00,1352.00, 0.43
14.50,622.00,1369.00, 0.45
15.00,561.00,1388.00, 0.40
15.50,552.00,1355.00, 0.41
16.00,604.00,1388.00, 0.44
16.50,574.00,1350.00, 0.43
17.00,553.00,1312.00, 0.42
17.50,544.00,1378.00, 0.39
18.00,576.00,1396.00, 0.41
18.50,488.00,1343.00, 0.36
19.00,542.00,1334.00, 0.41
19.50,541.00,1347.00, 0.40
20.00,543.00,1309.00, 0.41
20.50,557.00,1350.00, 0.41
21.00,548.00,1359.00, 0.40
21.50,553.00,1300.00, 0.43
22.00,531.00,1354.00, 0.39
22.50,539.00,1377.00, 0.39
23.00,562.00,1336.00, 0.42
23.50,564.00,1316.00, 0.43
24.00,537.00,1236.00, 0.43
24.50,502.00,1276.00, 0.39
25.00,555.00,1258.00, 0.44
25.50,491.00,1340.00, 0.37
26.00,574.00,1290.00, 0.44
26.50,509.00,1333.00, 0.38
27.00,541.00,1275.00, 0.42
27.50,560.00,1278.00, 0.44
28.00,555.00,1295.00, 0.43
28.50,532.00,1331.00, 0.40
29.00,556.00,1296.00, 0.43
29.50,554.00,1311.00, 0.42
30.00,532.00,1245.00, 0.43
30.50,529.00,1337.00, 0.40
31.00,536.00,1281.00, 0.42
31.50,574.00,1283.00, 0.45
32.00,535.00,1241.00, 0.43
32.50,543.00,1231.00, 0.44
33.00,537.00,1246.00, 0.43
33.50,542.00,1233.00, 0.44
34.00,541.00,1289.00, 0.42
34.50,481.00,1311.00, 0.37
35.00,554.00,1289.00, 0.43
35.50,545.00,1277.00, 0.43
36.00,527.00,1244.00, 0.42
36.50,528.00,1157.00, 0.46
37.00,518.00,1268.00, 0.41
37.50,525.00,1306.00, 0.40
38.00,509.00,1250.00, 0.41
38.50,528.00,1258.00, 0.42
39.00,511.00,1215.00, 0.42
39.50,498.00,1107.00, 0.45
40.00,515.00,1147.00, 0.45
40.50,477.00,1171.00, 0.41
41.00,526.00,1227.00, 0.43
41.50,517.00,1224.00, 0.42
42.00,562.00,1189.00, 0.47
42.50,507.00,1246.00, 0.41
43.00,526.00,1259.00, 0.42
43.50,517.00,1203.00, 0.43
44.00,498.00,1253.00, 0.40
44.50,485.00,1217.00, 0.40
45.00,496.00,1197.00, 0.41
45.50,505.00,1203.00, 0.42
46.00,521.00,1225.00, 0.43
46.50,493.00,1286.00, 0.38
47.00,469.00,1182.00, 0.40
47.50,482.00,1233.00, 0.39
48.00,531.00,1253.00, 0.42
48.50,530.00,1159.00, 0.46
49.00,523.00,1134.00, 0.46
49.50,505.00,1131.00, 0.45
50.00,486.00,1186.00, 0.41
50.50,505.00,1125.00, 0.45
51.00,544.00,1193.00, 0.46
51.50,538.00,1167.00, 0.46
52.00,505.00,1173.00, 0.43
52.50,490.00,1165.00, 0.42
53.00,513.00,1143.00, 0.45
53.50,496.00,1106.00, 0.45
54.00,465.00,1105.00, 0.42
54.50,474.00,1139.00, 0.42
55.00,466.00,1107.00, 0.42
55.50,481.00,1154.00, 0.42
56.00,481.00,1208.00, 0.40
56.50,520.00,1184.00, 0.44
57.00,474.00,1114.00, 0.43
57.50,505.00,1191.00, 0.42
58.00,487.00,1166.00, 0.42
58.50,482.00,1156.00, 0.42
59.00,514.00,1162.00, 0.44
59.50,492.00,1134.00, 0.43
60.00,470.00,1188.00, 0.40
60.50,489.00,1193.00, 0.41
61.00,507.00,1128.00, 0.45
61.50,526.00,1101.00, 0.48
62.00,532.00,1157.00, 0.46
62.50,515.00,1183.00, 0.44
63.00,485.00,1147.00, 0.42
63.50,478.00,1151.00, 0.42
64.00,490.00,1113.00, 0.44
64.50,504.00,1090.00, 0.46
65.00,455.00,1168.00, 0.39
65.50,496.00,1147.00, 0.43
66.00,505.00,1131.00, 0.45
66.50,507.00,1166.00, 0.43
67.00,496.00,1176.00, 0.42
67.50,485.00,1121.00, 0.43
68.00,516.00,1145.00, 0.45
68.50,486.00,1102.00, 0.44
69.00,478.00,1120.00, 0.43
69.50,492.00,1097.00, 0.45
