Date/Time,26_08_19,13:19,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,37.2,,
Results,,,
Time,Green,Blue,Ratio
 0.50,348.00,366.00, 0.95
 1.00,981.00,965.00, 1.02
 1.50,952.00,953.00, 1.00
 2.00,1018.00,1054.00, 0.97
 2.50,1014.00,1023.00, 0.99
 3.00,1002.00,1109.00, 0.90
 3.50,1067.00,1114.00, 0.96
 4.00,1035.00,1234.00, 0.84
 4.50,1087.00,1282.00, 0.85
 5.00,1112.00,1336.00, 0.83
 5.50,1033.00,1247.00, 0.83
 6.00,1057.00,1292.00, 0.82
 6.50,1104.00,1342.00, 0.82
 7.00,1165.00,1291.00, 0.90
 7.50,1161.00,1326.00, 0.88
 8.00,1179.00,1309.00, 0.90
 8.50,1163.00,1342.00, 0.87
 9.00,1176.00,1379.00, 0.85
 9.50,1178.00,1375.00, 0.86
10.00,1070.00,1395.00, 0.77
10.50,1143.00,1352.00, 0.85
11.00,1112.00,1373.00, 0.81
11.50,1114.00,1336.00, 0.83
12.00,1172.00,1352.00, 0.87
12.50,1139.00,1424.00, 0.80
13.00,1137.00,1305.00, 0.87
13.50,1137.00,1366.00, 0.83
14.00,1123.00,1295.00, 0.87
14.50,1125.00,1308.00, 0.86
15.00,1081.00,1388.00, 0.78
15.50,1100.00,1332.00, 0.83
16.00,1125.00,1325.00, 0.85
16.50,1114.00,1366.00, 0.82
17.00,1103.00,1249.00, 0.88
17.50,1076.00,1344.00, 0.80
18.00,1036.00,1312.00, 0.79
18.50,1021.00,1378.00, 0.74
19.00,1040.00,1290.00, 0.81
19.50,1047.00,1302.00, 0.80
20.00,1006.00,1275.00, 0.79
20.50,1081.00,1266.00, 0.85
21.00,1069.00,1213.00, 0.88
21.50,1034.00,1277.00, 0.81
22.00,1037.00,1251.00, 0.83
22.50,1024.00,1244.00, 0.82
23.00,1025.00,1215.00, 0.84
23.50,1021.00,1185.00, 0.86
24.00,988.00,1171.00, 0.84
24.50,937.00,1145.00, 0.82
25.00,1001.00,1217.00, 0.82
25.50,954.00,1157.00, 0.82
26.00,920.00,1216.00, 0.76
26.50,972.00,1156.00, 0.84
27.00,969.00,1165.00, 0.83
27.50,949.00,1140.00, 0.83
28.00,928.00,1133.00, 0.82
28.50,909.00,1146.00, 0.79
29.00,936.00,1165.00, 0.80
29.50,898.00,1139.00, 0.79
30.00,903.00,1111.00, 0.81
30.50,946.00,1061.00, 0.89
31.00,920.00,1140.00, 0.81
31.50,889.00,1065.00, 0.83
32.00,899.00,1076.00, 0.84
32.50,864.00,1103.00, 0.78
33.00,889.00,1097.00, 0.81
33.50,855.00,1036.00, 0.83
34.00,817.00,1039.00, 0.79
34.50,877.00,1072.00, 0.82
35.00,865.00,1029.00, 0.84
35.50,858.00,1016.00, 0.84
36.00,808.00,997.00, 0.81
36.50,837.00,1010.00, 0.83
37.00,822.00,1077.00, 0.76
37.50,853.00,1021.00, 0.84
38.00,840.00,1080.00, 0.78
38.50,844.00,1018.00, 0.83
39.00,834.00,1052.00, 0.79
39.50,860.00,1014.00, 0.85
40.00,827.00,993.00, 0.83
40.50,718.00,1016.00, 0.71
41.00,850.00,998.00, 0.85
41.50,773.00,967.00, 0.80
42.00,750.00,1007.00, 0.74
42.50,758.00,971.00, 0.78
43.00,770.00,942.00, 0.82
43.50,796.00,976.00, 0.82
44.00,757.00,989.00, 0.77
44.50,754.00,919.00, 0.82
45.00,804.00,1002.00, 0.80
45.50,746.00,929.00, 0.80
46.00,741.00,957.00, 0.77
46.50,746.00,901.00, 0.83
47.00,767.00,918.00, 0.84
47.50,714.00,893.00, 0.80
48.00,720.00,921.00, 0.78
48.50,729.00,954.00, 0.76
49.00,705.00,916.00, 0.77
49.50,741.00,914.00, 0.81
50.00,743.00,910.00, 0.82
50.50,706.00,912.00, 0.77
51.00,688.00,894.00, 0.77
51.50,700.00,897.00, 0.78
52.00,726.00,875.00, 0.83
52.50,730.00,855.00, 0.85
53.00,752.00,877.00, 0.86
53.50,788.00,883.00, 0.89
54.00,718.00,850.00, 0.84
54.50,778.00,878.00, 0.89
55.00,683.00,820.00, 0.83
55.50,700.00,892.00, 0.78
56.00,715.00,930.00, 0.77
56.50,682.00,909.00, 0.75
57.00,692.00,821.00, 0.84
57.50,654.00,830.00, 0.79
58.00,661.00,863.00, 0.77
58.50,703.00,889.00, 0.79
59.00,704.00,860.00, 0.82
59.50,693.00,834.00, 0.83
60.00,680.00,850.00, 0.80
60.50,653.00,870.00, 0.75
61.00,622.00,833.00, 0.75
61.50,726.00,855.00, 0.85
62.00,683.00,818.00, 0.83
62.50,686.00,818.00, 0.84
63.00,675.00,812.00, 0.83
63.50,703.00,796.00, 0.88
64.00,659.00,813.00, 0.81
64.50,662.00,829.00, 0.80
65.00,669.00,800.00, 0.84
65.50,633.00,802.00, 0.79
66.00,602.00,814.00, 0.74
66.50,675.00,813.00, 0.83
67.00,614.00,852.00, 0.72
67.50,653.00,825.00, 0.79
68.00,614.00,813.00, 0.76
68.50,659.00,819.00, 0.80
69.00,637.00,762.00, 0.84
69.50,629.00,794.00, 0.79
70.00,683.00,808.00, 0.85
