Date/Time,07_06_19,14:59,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,28.0,,
Results,,,
Time,Green,Blue,Ratio
 0.50,231.00,281.00, 0.82
 1.00,377.00,570.00, 0.66
 1.50,343.00,545.00, 0.63
 2.00,429.00,590.00, 0.73
 2.50,443.00,622.00, 0.71
 3.00,423.00,595.00, 0.71
 3.50,451.00,661.00, 0.68
 4.00,462.00,627.00, 0.74
 4.50,436.00,669.00, 0.65
 5.00,420.00,672.00, 0.62
 5.50,418.00,674.00, 0.62
 6.00,462.00,664.00, 0.70
 6.50,461.00,673.00, 0.68
 7.00,443.00,669.00, 0.66
 7.50,474.00,740.00, 0.64
 8.00,455.00,728.00, 0.62
 8.50,445.00,680.00, 0.65
 9.00,444.00,717.00, 0.62
 9.50,481.00,728.00, 0.66
10.00,461.00,770.00, 0.60
10.50,497.00,728.00, 0.68
11.00,462.00,736.00, 0.63
11.50,445.00,696.00, 0.64
12.00,447.00,777.00, 0.58
12.50,464.00,727.00, 0.64
13.00,449.00,733.00, 0.61
13.50,447.00,794.00, 0.56
14.00,460.00,764.00, 0.60
14.50,431.00,759.00, 0.57
15.00,464.00,782.00, 0.59
15.50,449.00,795.00, 0.56
16.00,447.00,757.00, 0.59
16.50,483.00,769.00, 0.63
17.00,407.00,764.00, 0.53
17.50,446.00,714.00, 0.62
18.00,461.00,729.00, 0.63
18.50,450.00,751.00, 0.60
19.00,473.00,753.00, 0.63
19.50,477.00,719.00, 0.66
20.00,440.00,740.00, 0.59
20.50,451.00,803.00, 0.56
21.00,430.00,688.00, 0.62
21.50,443.00,745.00, 0.59
22.00,424.00,776.00, 0.55
22.50,444.00,770.00, 0.58
23.00,429.00,729.00, 0.59
23.50,391.00,761.00, 0.51
24.00,432.00,743.00, 0.58
24.50,408.00,762.00, 0.54
25.00,387.00,735.00, 0.53
25.50,419.00,725.00, 0.58
26.00,366.00,728.00, 0.50
26.50,375.00,793.00, 0.47
27.00,399.00,733.00, 0.54
27.50,409.00,733.00, 0.56
28.00,377.00,789.00, 0.48
28.50,399.00,751.00, 0.53
29.00,376.00,744.00, 0.51
29.50,397.00,751.00, 0.53
30.00,374.00,758.00, 0.49
30.50,357.00,775.00, 0.46
31.00,412.00,702.00, 0.59
31.50,383.00,740.00, 0.52
32.00,392.00,775.00, 0.51
32.50,413.00,793.00, 0.52
33.00,351.00,767.00, 0.46
33.50,373.00,755.00, 0.49
34.00,349.00,776.00, 0.45
34.50,365.00,797.00, 0.46
35.00,369.00,751.00, 0.49
35.50,409.00,738.00, 0.55
36.00,397.00,759.00, 0.52
36.50,392.00,746.00, 0.53
37.00,372.00,755.00, 0.49
37.50,358.00,763.00, 0.47
38.00,340.00,764.00, 0.45
38.50,361.00,805.00, 0.45
39.00,326.00,782.00, 0.42
39.50,357.00,782.00, 0.46
40.00,373.00,748.00, 0.50
40.50,348.00,819.00, 0.42
41.00,329.00,742.00, 0.44
41.50,345.00,773.00, 0.45
42.00,351.00,791.00, 0.44
42.50,323.00,751.00, 0.43
43.00,322.00,786.00, 0.41
43.50,328.00,817.00, 0.40
44.00,323.00,800.00, 0.40
44.50,339.00,778.00, 0.44
45.00,340.00,770.00, 0.44
45.50,327.00,814.00, 0.40
46.00,312.00,822.00, 0.38
46.50,349.00,751.00, 0.46
47.00,332.00,810.00, 0.41
47.50,320.00,765.00, 0.42
48.00,349.00,767.00, 0.46
48.50,350.00,778.00, 0.45
49.00,360.00,780.00, 0.46
49.50,309.00,761.00, 0.41
50.00,327.00,766.00, 0.43
50.50,328.00,829.00, 0.40
51.00,316.00,789.00, 0.40
51.50,288.00,806.00, 0.36
52.00,330.00,842.00, 0.39
52.50,286.00,838.00, 0.34
53.00,326.00,807.00, 0.40
53.50,297.00,844.00, 0.35
54.00,293.00,829.00, 0.35
54.50,313.00,794.00, 0.39
55.00,336.00,744.00, 0.45
55.50,299.00,822.00, 0.36
56.00,332.00,867.00, 0.38
56.50,277.00,831.00, 0.33
57.00,296.00,825.00, 0.36
57.50,314.00,857.00, 0.37
58.00,305.00,797.00, 0.38
58.50,330.00,884.00, 0.37
59.00,314.00,836.00, 0.38
59.50,312.00,835.00, 0.37
60.00,305.00,793.00, 0.38
60.50,297.00,825.00, 0.36
61.00,316.00,867.00, 0.36
61.50,305.00,841.00, 0.36
62.00,314.00,830.00, 0.38
62.50,293.00,813.00, 0.36
63.00,308.00,832.00, 0.37
63.50,317.00,822.00, 0.39
64.00,325.00,837.00, 0.39
64.50,309.00,835.00, 0.37
65.00,294.00,861.00, 0.34
65.50,258.00,876.00, 0.29
66.00,328.00,856.00, 0.38
66.50,315.00,869.00, 0.36
67.00,310.00,817.00, 0.38
67.50,315.00,831.00, 0.38
68.00,274.00,809.00, 0.34
68.50,319.00,886.00, 0.36
69.00,336.00,851.00, 0.39
69.50,291.00,859.00, 0.34
70.00,294.00,863.00, 0.34
70.50,315.00,843.00, 0.37
71.00,285.00,929.00, 0.31
71.50,311.00,874.00, 0.36
72.00,299.00,907.00, 0.33
72.50,306.00,877.00, 0.35
73.00,267.00,890.00, 0.30
73.50,283.00,871.00, 0.32
