Date/Time,23_04_19,17:44,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,28.0,,
Results,,,
Time,Green,Blue,Ratio
 0.50, 0.00, 0.00,  NaN
 1.00,270.00,990.00, 0.27
 1.50,340.00,1109.00, 0.31
 2.00,332.00,1135.00, 0.29
 2.50,364.00,1131.00, 0.32
 3.00,330.00,1165.00, 0.28
 3.50,359.00,1117.00, 0.32
 4.00,331.00,1191.00, 0.28
 4.50,385.00,1084.00, 0.36
 5.00,381.00,1133.00, 0.34
 5.50,379.00,1133.00, 0.33
 6.00,353.00,1154.00, 0.31
 6.50,389.00,1227.00, 0.32
 7.00,401.00,1187.00, 0.34
 7.50,364.00,1171.00, 0.31
 8.00,379.00,1198.00, 0.32
 8.50,398.00,1108.00, 0.36
 9.00,397.00,1186.00, 0.33
 9.50,386.00,1202.00, 0.32
10.00,374.00,1177.00, 0.32
10.50,362.00,1232.00, 0.29
11.00,420.00,1214.00, 0.35
11.50,390.00,1141.00, 0.34
12.00,405.00,1160.00, 0.35
12.50,378.00,1182.00, 0.32
13.00,439.00,1166.00, 0.38
13.50,417.00,1179.00, 0.35
14.00,441.00,1248.00, 0.35
14.50,432.00,1210.00, 0.36
15.00,451.00,1175.00, 0.38
15.50,468.00,1194.00, 0.39
16.00,428.00,1185.00, 0.36
16.50,434.00,1230.00, 0.35
17.00,456.00,1252.00, 0.36
17.50,396.00,1248.00, 0.32
18.00,421.00,1169.00, 0.36
18.50,427.00,1173.00, 0.36
19.00,411.00,1199.00, 0.34
19.50,449.00,1168.00, 0.38
20.00,465.00,1185.00, 0.39
20.50,396.00,1198.00, 0.33
21.00,447.00,1200.00, 0.37
21.50,411.00,1202.00, 0.34
22.00,405.00,1200.00, 0.34
22.50,434.00,1236.00, 0.35
23.00,426.00,1155.00, 0.37
23.50,445.00,1199.00, 0.37
24.00,424.00,1170.00, 0.36
24.50,441.00,1252.00, 0.35
25.00,445.00,1199.00, 0.37
25.50,417.00,1193.00, 0.35
26.00,371.00,1158.00, 0.32
26.50,433.00,1235.00, 0.35
27.00,436.00,1213.00, 0.36
27.50,439.00,1199.00, 0.37
28.00,407.00,1169.00, 0.35
28.50,423.00,1081.00, 0.39
29.00,444.00,1187.00, 0.37
29.50,431.00,1226.00, 0.35
30.00,429.00,1233.00, 0.35
30.50,418.00,1157.00, 0.36
31.00,432.00,1207.00, 0.36
31.50,404.00,1251.00, 0.32
32.00,408.00,1160.00, 0.35
32.50,433.00,1219.00, 0.36
33.00,444.00,1115.00, 0.40
33.50,449.00,1142.00, 0.39
34.00,433.00,1188.00, 0.36
34.50,434.00,1183.00, 0.37
35.00,426.00,1226.00, 0.35
35.50,436.00,1123.00, 0.39
36.00,414.00,1142.00, 0.36
36.50,405.00,1135.00, 0.36
37.00,423.00,1185.00, 0.36
37.50,431.00,1132.00, 0.38
38.00,435.00,1121.00, 0.39
38.50,440.00,1151.00, 0.38
39.00,427.00,1115.00, 0.38
39.50,434.00,1100.00, 0.39
40.00,456.00,1093.00, 0.42
40.50,386.00,1095.00, 0.35
41.00,425.00,1185.00, 0.36
41.50,466.00,1069.00, 0.44
42.00,428.00,1090.00, 0.39
42.50,396.00,1076.00, 0.37
43.00,431.00,1186.00, 0.36
43.50,432.00,1158.00, 0.37
44.00,409.00,1055.00, 0.39
44.50,412.00,1091.00, 0.38
45.00,447.00,1105.00, 0.40
45.50,407.00,1092.00, 0.37
46.00,423.00,1029.00, 0.41
46.50,420.00,1122.00, 0.37
47.00,443.00,1131.00, 0.39
47.50,411.00,1113.00, 0.37
48.00,440.00,1111.00, 0.40
48.50,453.00,1055.00, 0.43
49.00,400.00,1118.00, 0.36
49.50,418.00,1059.00, 0.39
50.00,449.00,1125.00, 0.40
50.50,429.00,1116.00, 0.38
51.00,410.00,1105.00, 0.37
51.50,436.00,1038.00, 0.42
52.00,399.00,1070.00, 0.37
52.50,404.00,1071.00, 0.38
53.00,457.00,1102.00, 0.41
53.50,377.00,1101.00, 0.34
54.00,417.00,1100.00, 0.38
54.50,395.00,1037.00, 0.38
55.00,426.00,1079.00, 0.39
55.50,431.00,1063.00, 0.41
56.00,406.00,1049.00, 0.39
56.50,430.00,1034.00, 0.42
57.00,390.00,1055.00, 0.37
57.50,417.00,1081.00, 0.39
58.00,416.00,1109.00, 0.38
58.50,402.00,1100.00, 0.37
59.00,397.00,1074.00, 0.37
59.50,413.00,1042.00, 0.40
60.00,398.00,1048.00, 0.38
60.50,420.00,1080.00, 0.39
61.00,422.00,1028.00, 0.41
61.50,391.00,1051.00, 0.37
62.00,411.00,1099.00, 0.37
62.50,396.00,1050.00, 0.38
63.00,423.00,1047.00, 0.40
63.50,432.00,1017.00, 0.42
64.00,401.00,1060.00, 0.38
64.50,410.00,1045.00, 0.39
65.00,399.00,1056.00, 0.38
65.50,448.00,1012.00, 0.44
66.00,425.00,1069.00, 0.40
66.50,397.00,1059.00, 0.37
67.00,403.00,1053.00, 0.38
67.50,433.00,1023.00, 0.42
68.00,387.00,1029.00, 0.38
68.50,392.00,1036.00, 0.38
69.00,436.00,997.00, 0.44
69.50,449.00,1007.00, 0.45
