Date/Time,23_04_19,17:31,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,27.9,,
Results,,,
Time,Green,Blue,Ratio
 0.50, 0.00, 0.00,  NaN
 1.00,687.00,1187.00, 0.58
 1.50,797.00,1248.00, 0.64
 2.00,804.00,1283.00, 0.63
 2.50,853.00,1315.00, 0.65
 3.00,817.00,1350.00, 0.61
 3.50,832.00,1291.00, 0.64
 4.00,842.00,1286.00, 0.65
 4.50,785.00,1318.00, 0.60
 5.00,804.00,1243.00, 0.65
 5.50,770.00,1270.00, 0.61
 6.00,796.00,1287.00, 0.62
 6.50,788.00,1318.00, 0.60
 7.00,788.00,1350.00, 0.58
 7.50,787.00,1324.00, 0.59
 8.00,780.00,1284.00, 0.61
 8.50,732.00,1245.00, 0.59
 9.00,758.00,1367.00, 0.55
 9.50,738.00,1280.00, 0.58
10.00,721.00,1250.00, 0.58
10.50,718.00,1281.00, 0.56
11.00,742.00,1252.00, 0.59
11.50,741.00,1242.00, 0.60
12.00,726.00,1197.00, 0.61
12.50,772.00,1218.00, 0.63
13.00,699.00,1272.00, 0.55
13.50,720.00,1256.00, 0.57
14.00,724.00,1294.00, 0.56
14.50,734.00,1322.00, 0.56
15.00,728.00,1288.00, 0.57
15.50,727.00,1234.00, 0.59
16.00,779.00,1245.00, 0.63
16.50,739.00,1301.00, 0.57
17.00,742.00,1234.00, 0.60
17.50,773.00,1351.00, 0.57
18.00,711.00,1239.00, 0.57
18.50,701.00,1279.00, 0.55
19.00,714.00,1264.00, 0.56
19.50,719.00,1264.00, 0.57
20.00,701.00,1301.00, 0.54
20.50,694.00,1253.00, 0.55
21.00,733.00,1244.00, 0.59
21.50,675.00,1306.00, 0.52
22.00,718.00,1281.00, 0.56
22.50,683.00,1276.00, 0.54
23.00,678.00,1297.00, 0.52
23.50,683.00,1363.00, 0.50
24.00,729.00,1232.00, 0.59
24.50,687.00,1325.00, 0.52
25.00,669.00,1335.00, 0.50
25.50,669.00,1223.00, 0.55
26.00,581.00,1177.00, 0.49
26.50,658.00,1188.00, 0.55
27.00,683.00,1197.00, 0.57
27.50,678.00,1270.00, 0.53
28.00,625.00,1251.00, 0.50
28.50,645.00,1261.00, 0.51
29.00,692.00,1288.00, 0.54
29.50,636.00,1198.00, 0.53
30.00,690.00,1176.00, 0.59
30.50,639.00,1157.00, 0.55
31.00,675.00,1271.00, 0.53
31.50,619.00,1240.00, 0.50
32.00,635.00,1262.00, 0.50
32.50,646.00,1260.00, 0.51
33.00,665.00,1229.00, 0.54
33.50,619.00,1257.00, 0.49
34.00,669.00,1193.00, 0.56
34.50,665.00,1222.00, 0.54
35.00,676.00,1171.00, 0.58
35.50,644.00,1242.00, 0.52
36.00,635.00,1199.00, 0.53
36.50,625.00,1173.00, 0.53
37.00,622.00,1165.00, 0.53
37.50,652.00,1202.00, 0.54
38.00,612.00,1154.00, 0.53
38.50,608.00,1232.00, 0.49
39.00,627.00,1149.00, 0.55
39.50,609.00,1186.00, 0.51
40.00,645.00,1119.00, 0.58
40.50,630.00,1200.00, 0.53
41.00,571.00,1126.00, 0.51
41.50,606.00,1246.00, 0.49
42.00,661.00,1171.00, 0.56
42.50,646.00,1226.00, 0.53
43.00,583.00,1186.00, 0.49
43.50,588.00,1193.00, 0.49
44.00,594.00,1188.00, 0.50
44.50,594.00,1226.00, 0.48
45.00,595.00,1163.00, 0.51
45.50,614.00,1148.00, 0.53
46.00,537.00,1213.00, 0.44
46.50,557.00,1232.00, 0.45
47.00,627.00,1171.00, 0.54
47.50,585.00,1207.00, 0.48
48.00,629.00,1147.00, 0.55
48.50,594.00,1202.00, 0.49
49.00,579.00,1144.00, 0.51
49.50,609.00,1169.00, 0.52
50.00,593.00,1190.00, 0.50
50.50,581.00,1161.00, 0.50
51.00,569.00,1145.00, 0.50
51.50,603.00,1205.00, 0.50
52.00,609.00,1171.00, 0.52
52.50,575.00,1155.00, 0.50
53.00,583.00,1195.00, 0.49
53.50,545.00,1152.00, 0.47
54.00,583.00,1126.00, 0.52
54.50,592.00,1133.00, 0.52
55.00,580.00,1147.00, 0.51
55.50,562.00,1115.00, 0.50
56.00,547.00,1168.00, 0.47
56.50,551.00,1139.00, 0.48
57.00,585.00,1124.00, 0.52
57.50,577.00,1250.00, 0.46
58.00,591.00,1134.00, 0.52
58.50,534.00,1146.00, 0.47
59.00,539.00,1112.00, 0.48
59.50,560.00,1103.00, 0.51
60.00,527.00,1150.00, 0.46
60.50,544.00,1075.00, 0.51
61.00,544.00,1186.00, 0.46
61.50,565.00,1150.00, 0.49
62.00,545.00,1113.00, 0.49
62.50,574.00,1161.00, 0.49
63.00,513.00,1129.00, 0.45
63.50,556.00,1088.00, 0.51
64.00,545.00,1126.00, 0.48
64.50,537.00,1100.00, 0.49
65.00,546.00,1143.00, 0.48
65.50,546.00,1131.00, 0.48
66.00,563.00,1155.00, 0.49
66.50,590.00,1048.00, 0.56
67.00,520.00,1084.00, 0.48
67.50,549.00,1116.00, 0.49
68.00,533.00,1082.00, 0.49
68.50,524.00,1164.00, 0.45
69.00,544.00,1139.00, 0.48
69.50,517.00,1133.00, 0.46
