Date/Time,07_06_19,15:18,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,28.0,,
Results,,,
Time,Green,Blue,Ratio
 0.50,682.00,4236.00, 0.16
 1.00,1237.00,8162.00, 0.15
 1.50,1277.00,8156.00, 0.16
 2.00,1272.00,8181.00, 0.16
 2.50,1301.00,8309.00, 0.16
 3.00,1244.00,8266.00, 0.15
 3.50,1319.00,8299.00, 0.16
 4.00,1282.00,8220.00, 0.16
 4.50,1249.00,8157.00, 0.15
 5.00,1275.00,8316.00, 0.15
 5.50,1223.00,8377.00, 0.15
 6.00,1242.00,8324.00, 0.15
 6.50,1255.00,8470.00, 0.15
 7.00,1267.00,8204.00, 0.15
 7.50,1203.00,8122.00, 0.15
 8.00,1271.00,8052.00, 0.16
 8.50,1279.00,8315.00, 0.15
 9.00,1165.00,8258.00, 0.14
 9.50,1202.00,8017.00, 0.15
10.00,1195.00,8162.00, 0.15
10.50,1249.00,8069.00, 0.15
11.00,1159.00,8063.00, 0.14
11.50,1263.00,8215.00, 0.15
12.00,1183.00,7989.00, 0.15
12.50,1155.00,8082.00, 0.14
13.00,1148.00,7976.00, 0.14
13.50,1218.00,8001.00, 0.15
14.00,1133.00,7972.00, 0.14
14.50,1191.00,7999.00, 0.15
15.00,1171.00,7856.00, 0.15
15.50,1087.00,8005.00, 0.14
16.00,1168.00,7834.00, 0.15
16.50,1124.00,7743.00, 0.15
17.00,1153.00,7904.00, 0.15
17.50,1164.00,7860.00, 0.15
18.00,1133.00,7984.00, 0.14
18.50,1026.00,7795.00, 0.13
19.00,1051.00,7781.00, 0.14
19.50,1088.00,7659.00, 0.14
20.00,1089.00,7594.00, 0.14
20.50,1081.00,7715.00, 0.14
21.00,1085.00,7793.00, 0.14
21.50,1034.00,7665.00, 0.13
22.00,1094.00,7670.00, 0.14
22.50,1054.00,7597.00, 0.14
23.00,1071.00,7617.00, 0.14
23.50,1043.00,7650.00, 0.14
24.00,1062.00,7680.00, 0.14
24.50,1066.00,7498.00, 0.14
25.00,1094.00,7447.00, 0.15
25.50,1011.00,7364.00, 0.14
26.00,977.00,7378.00, 0.13
26.50,1057.00,7563.00, 0.14
27.00,1096.00,7355.00, 0.15
27.50,996.00,7503.00, 0.13
28.00,988.00,7409.00, 0.13
28.50,1043.00,7392.00, 0.14
29.00,1043.00,7459.00, 0.14
29.50,998.00,7447.00, 0.13
30.00,1009.00,7235.00, 0.14
30.50,1005.00,7402.00, 0.14
31.00,1028.00,7238.00, 0.14
31.50,977.00,7367.00, 0.13
32.00,1030.00,7192.00, 0.14
32.50,940.00,7220.00, 0.13
33.00,945.00,7162.00, 0.13
33.50,940.00,7154.00, 0.13
34.00,976.00,7253.00, 0.13
34.50,940.00,7242.00, 0.13
35.00,982.00,7260.00, 0.14
35.50,947.00,7267.00, 0.13
36.00,985.00,7106.00, 0.14
36.50,955.00,7216.00, 0.13
37.00,942.00,7075.00, 0.13
37.50,962.00,7073.00, 0.14
38.00,933.00,7121.00, 0.13
38.50,893.00,7009.00, 0.13
39.00,966.00,7106.00, 0.14
39.50,896.00,7053.00, 0.13
40.00,945.00,7142.00, 0.13
40.50,866.00,7064.00, 0.12
41.00,917.00,7039.00, 0.13
41.50,931.00,6955.00, 0.13
42.00,942.00,6894.00, 0.14
42.50,916.00,7079.00, 0.13
43.00,954.00,7060.00, 0.14
43.50,832.00,6874.00, 0.12
44.00,899.00,6995.00, 0.13
44.50,894.00,7184.00, 0.12
45.00,866.00,6908.00, 0.13
45.50,909.00,6890.00, 0.13
46.00,898.00,6804.00, 0.13
46.50,892.00,6878.00, 0.13
47.00,852.00,6788.00, 0.13
47.50,952.00,6705.00, 0.14
48.00,911.00,6767.00, 0.13
48.50,852.00,6762.00, 0.13
49.00,843.00,6840.00, 0.12
49.50,837.00,6845.00, 0.12
50.00,874.00,6807.00, 0.13
50.50,797.00,6733.00, 0.12
51.00,882.00,6810.00, 0.13
51.50,871.00,6784.00, 0.13
52.00,875.00,6636.00, 0.13
52.50,746.00,6735.00, 0.11
53.00,825.00,6754.00, 0.12
53.50,850.00,6640.00, 0.13
54.00,889.00,6562.00, 0.14
54.50,813.00,6667.00, 0.12
55.00,798.00,6540.00, 0.12
55.50,861.00,6734.00, 0.13
56.00,846.00,6689.00, 0.13
56.50,810.00,6664.00, 0.12
57.00,851.00,6542.00, 0.13
57.50,818.00,6625.00, 0.12
58.00,780.00,6623.00, 0.12
58.50,832.00,6614.00, 0.13
59.00,851.00,6682.00, 0.13
59.50,933.00,6618.00, 0.14
60.00,802.00,6572.00, 0.12
60.50,808.00,6481.00, 0.12
61.00,802.00,6548.00, 0.12
61.50,788.00,6617.00, 0.12
62.00,866.00,6505.00, 0.13
62.50,852.00,6423.00, 0.13
63.00,812.00,6580.00, 0.12
63.50,761.00,6379.00, 0.12
64.00,764.00,6515.00, 0.12
64.50,779.00,6597.00, 0.12
65.00,795.00,6459.00, 0.12
65.50,815.00,6446.00, 0.13
66.00,819.00,6430.00, 0.13
66.50,784.00,6567.00, 0.12
67.00,800.00,6403.00, 0.12
67.50,759.00,6484.00, 0.12
68.00,765.00,6265.00, 0.12
