Date/Time,07_06_19,13:55,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,28.0,,
Results,,,
Time,Green,Blue,Ratio
 0.50, 0.00, 0.00,  NaN
 1.00,674.00,893.00, 0.75
 1.50,736.00,973.00, 0.76
 2.00,795.00,1036.00, 0.77
 2.50,737.00,1089.00, 0.68
 3.00,747.00,1102.00, 0.68
 3.50,828.00,1031.00, 0.80
 4.00,804.00,1134.00, 0.71
 4.50,875.00,1034.00, 0.85
 5.00,873.00,1086.00, 0.80
 5.50,880.00,1057.00, 0.83
 6.00,867.00,1111.00, 0.78
 6.50,839.00,1129.00, 0.74
 7.00,824.00,1197.00, 0.69
 7.50,892.00,1150.00, 0.78
 8.00,856.00,1207.00, 0.71
 8.50,884.00,1181.00, 0.75
 9.00,852.00,1157.00, 0.74
 9.50,881.00,1165.00, 0.76
10.00,857.00,1180.00, 0.73
10.50,885.00,1176.00, 0.75
11.00,941.00,1280.00, 0.74
11.50,916.00,1208.00, 0.76
12.00,932.00,1246.00, 0.75
12.50,937.00,1227.00, 0.76
13.00,937.00,1228.00, 0.76
13.50,924.00,1230.00, 0.75
14.00,898.00,1253.00, 0.72
14.50,979.00,1314.00, 0.75
15.00,930.00,1292.00, 0.72
15.50,961.00,1266.00, 0.76
16.00,914.00,1259.00, 0.73
16.50,916.00,1235.00, 0.74
17.00,923.00,1295.00, 0.71
17.50,960.00,1281.00, 0.75
18.00,889.00,1318.00, 0.67
18.50,887.00,1321.00, 0.67
19.00,915.00,1322.00, 0.69
19.50,921.00,1280.00, 0.72
20.00,947.00,1296.00, 0.73
20.50,978.00,1308.00, 0.75
21.00,852.00,1313.00, 0.65
21.50,871.00,1298.00, 0.67
22.00,905.00,1321.00, 0.69
22.50,945.00,1309.00, 0.72
23.00,983.00,1267.00, 0.78
23.50,962.00,1310.00, 0.73
24.00,917.00,1330.00, 0.69
24.50,911.00,1376.00, 0.66
25.00,894.00,1335.00, 0.67
25.50,923.00,1277.00, 0.72
26.00,875.00,1287.00, 0.68
26.50,848.00,1298.00, 0.65
27.00,949.00,1350.00, 0.70
27.50,924.00,1375.00, 0.67
28.00,932.00,1322.00, 0.70
28.50,838.00,1323.00, 0.63
29.00,881.00,1325.00, 0.66
29.50,881.00,1281.00, 0.69
30.00,857.00,1343.00, 0.64
30.50,934.00,1307.00, 0.71
31.00,908.00,1285.00, 0.71
31.50,926.00,1273.00, 0.73
32.00,927.00,1242.00, 0.75
32.50,886.00,1313.00, 0.67
33.00,891.00,1316.00, 0.68
33.50,889.00,1292.00, 0.69
34.00,927.00,1326.00, 0.70
34.50,893.00,1299.00, 0.69
35.00,878.00,1319.00, 0.67
35.50,917.00,1251.00, 0.73
36.00,846.00,1375.00, 0.62
36.50,844.00,1282.00, 0.66
37.00,876.00,1303.00, 0.67
37.50,854.00,1252.00, 0.68
38.00,857.00,1327.00, 0.65
38.50,891.00,1322.00, 0.67
39.00,858.00,1320.00, 0.65
39.50,914.00,1296.00, 0.71
40.00,889.00,1318.00, 0.67
40.50,863.00,1291.00, 0.67
41.00,881.00,1271.00, 0.69
41.50,864.00,1276.00, 0.68
42.00,807.00,1284.00, 0.63
42.50,824.00,1287.00, 0.64
43.00,869.00,1261.00, 0.69
43.50,906.00,1314.00, 0.69
44.00,884.00,1231.00, 0.72
44.50,894.00,1281.00, 0.70
45.00,850.00,1301.00, 0.65
45.50,871.00,1304.00, 0.67
46.00,916.00,1293.00, 0.71
46.50,873.00,1354.00, 0.64
47.00,874.00,1245.00, 0.70
47.50,901.00,1255.00, 0.72
48.00,886.00,1230.00, 0.72
48.50,820.00,1299.00, 0.63
49.00,869.00,1272.00, 0.68
49.50,862.00,1296.00, 0.67
50.00,913.00,1354.00, 0.67
50.50,845.00,1331.00, 0.63
51.00,819.00,1328.00, 0.62
51.50,820.00,1308.00, 0.63
52.00,879.00,1301.00, 0.68
52.50,857.00,1271.00, 0.67
53.00,887.00,1260.00, 0.70
53.50,833.00,1288.00, 0.65
54.00,855.00,1345.00, 0.64
54.50,831.00,1296.00, 0.64
55.00,886.00,1258.00, 0.70
55.50,816.00,1263.00, 0.65
56.00,868.00,1300.00, 0.67
56.50,851.00,1265.00, 0.67
57.00,859.00,1281.00, 0.67
57.50,830.00,1271.00, 0.65
58.00,806.00,1344.00, 0.60
58.50,859.00,1307.00, 0.66
59.00,817.00,1237.00, 0.66
59.50,864.00,1207.00, 0.72
60.00,818.00,1305.00, 0.63
60.50,846.00,1271.00, 0.67
61.00,821.00,1269.00, 0.65
61.50,837.00,1306.00, 0.64
62.00,844.00,1294.00, 0.65
62.50,816.00,1272.00, 0.64
63.00,860.00,1340.00, 0.64
63.50,795.00,1266.00, 0.63
64.00,886.00,1399.00, 0.63
64.50,819.00,1286.00, 0.64
65.00,821.00,1253.00, 0.66
65.50,835.00,1296.00, 0.64
66.00,847.00,1342.00, 0.63
66.50,808.00,1279.00, 0.63
67.00,832.00,1318.00, 0.63
67.50,766.00,1277.00, 0.60
68.00,829.00,1289.00, 0.64
68.50,803.00,1299.00, 0.62
69.00,815.00,1291.00, 0.63
69.50,803.00,1284.00, 0.63
