Date/Time,07_06_19,14:34,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,28.0,,
Results,,,
Time,Green,Blue,Ratio
 0.50,944.00,1779.00, 0.53
 1.00,1552.00,2956.00, 0.53
 1.50,1447.00,2993.00, 0.48
 2.00,1498.00,2985.00, 0.50
 2.50,1511.00,3071.00, 0.49
 3.00,1369.00,3034.00, 0.45
 3.50,1406.00,3087.00, 0.46
 4.00,1413.00,3090.00, 0.46
 4.50,1437.00,3000.00, 0.48
 5.00,1455.00,2998.00, 0.49
 5.50,1513.00,3027.00, 0.50
 6.00,1429.00,3030.00, 0.47
 6.50,1458.00,3049.00, 0.48
 7.00,1435.00,3053.00, 0.47
 7.50,1411.00,3112.00, 0.45
 8.00,1460.00,3092.00, 0.47
 8.50,1459.00,3000.00, 0.49
 9.00,1484.00,3048.00, 0.49
 9.50,1446.00,3027.00, 0.48
10.00,1393.00,2999.00, 0.46
10.50,1406.00,3083.00, 0.46
11.00,1407.00,2973.00, 0.47
11.50,1447.00,2846.00, 0.51
12.00,1386.00,2966.00, 0.47
12.50,1386.00,3082.00, 0.45
13.00,1337.00,3033.00, 0.44
13.50,1411.00,2969.00, 0.48
14.00,1423.00,2925.00, 0.49
14.50,1401.00,2955.00, 0.47
15.00,1332.00,2983.00, 0.45
15.50,1394.00,2897.00, 0.48
16.00,1397.00,2921.00, 0.48
16.50,1342.00,2847.00, 0.47
17.00,1400.00,2880.00, 0.49
17.50,1397.00,2949.00, 0.47
18.00,1395.00,2836.00, 0.49
18.50,1369.00,2950.00, 0.46
19.00,1388.00,2842.00, 0.49
19.50,1342.00,2929.00, 0.46
20.00,1271.00,2893.00, 0.44
20.50,1352.00,2866.00, 0.47
21.00,1310.00,2807.00, 0.47
21.50,1360.00,2824.00, 0.48
22.00,1347.00,2926.00, 0.46
22.50,1279.00,2763.00, 0.46
23.00,1361.00,2922.00, 0.47
23.50,1283.00,2950.00, 0.43
24.00,1301.00,2856.00, 0.46
24.50,1296.00,2776.00, 0.47
25.00,1254.00,2811.00, 0.45
25.50,1238.00,2718.00, 0.46
26.00,1331.00,2769.00, 0.48
26.50,1200.00,2754.00, 0.44
27.00,1199.00,2808.00, 0.43
27.50,1206.00,2676.00, 0.45
28.00,1294.00,2698.00, 0.48
28.50,1231.00,2722.00, 0.45
29.00,1287.00,2623.00, 0.49
29.50,1163.00,2665.00, 0.44
30.00,1232.00,2590.00, 0.48
30.50,1180.00,2673.00, 0.44
31.00,1212.00,2659.00, 0.46
31.50,1246.00,2694.00, 0.46
32.00,1207.00,2688.00, 0.45
32.50,1213.00,2633.00, 0.46
33.00,1221.00,2555.00, 0.48
33.50,1207.00,2615.00, 0.46
34.00,1178.00,2594.00, 0.45
34.50,1221.00,2725.00, 0.45
35.00,1182.00,2556.00, 0.46
35.50,1206.00,2538.00, 0.48
36.00,1241.00,2565.00, 0.48
36.50,1202.00,2555.00, 0.47
37.00,1206.00,2605.00, 0.46
37.50,1186.00,2574.00, 0.46
38.00,1186.00,2599.00, 0.46
38.50,1110.00,2552.00, 0.43
39.00,1164.00,2510.00, 0.46
39.50,1164.00,2515.00, 0.46
40.00,1206.00,2606.00, 0.46
40.50,1093.00,2517.00, 0.43
41.00,1125.00,2622.00, 0.43
41.50,1101.00,2493.00, 0.44
42.00,1151.00,2435.00, 0.47
42.50,1120.00,2430.00, 0.46
43.00,1112.00,2494.00, 0.45
43.50,1147.00,2475.00, 0.46
44.00,1136.00,2487.00, 0.46
44.50,1111.00,2418.00, 0.46
45.00,1088.00,2441.00, 0.45
45.50,1078.00,2497.00, 0.43
46.00,1127.00,2406.00, 0.47
46.50,1123.00,2469.00, 0.45
47.00,1064.00,2523.00, 0.42
47.50,1059.00,2501.00, 0.42
48.00,1085.00,2405.00, 0.45
48.50,1054.00,2388.00, 0.44
49.00,1094.00,2394.00, 0.46
49.50,1029.00,2464.00, 0.42
50.00,1110.00,2422.00, 0.46
50.50,1073.00,2495.00, 0.43
51.00,1130.00,2503.00, 0.45
51.50,1073.00,2430.00, 0.44
52.00,1098.00,2454.00, 0.45
52.50,1090.00,2432.00, 0.45
53.00,1050.00,2343.00, 0.45
53.50,1028.00,2414.00, 0.43
54.00,1068.00,2382.00, 0.45
54.50,1059.00,2395.00, 0.44
55.00,1013.00,2345.00, 0.43
55.50,1017.00,2309.00, 0.44
56.00,1060.00,2319.00, 0.46
56.50,1049.00,2371.00, 0.44
57.00,1010.00,2341.00, 0.43
57.50,1058.00,2362.00, 0.45
58.00,991.00,2442.00, 0.41
58.50,1056.00,2376.00, 0.44
59.00,1017.00,2446.00, 0.42
59.50,1060.00,2316.00, 0.46
60.00,1031.00,2381.00, 0.43
60.50,1009.00,2341.00, 0.43
61.00,978.00,2276.00, 0.43
61.50,1042.00,2304.00, 0.45
62.00,1040.00,2403.00, 0.43
62.50,1061.00,2347.00, 0.45
63.00,999.00,2265.00, 0.44
63.50,971.00,2363.00, 0.41
64.00,1006.00,2322.00, 0.43
64.50,1060.00,2294.00, 0.46
65.00,1036.00,2375.00, 0.44
65.50,998.00,2380.00, 0.42
66.00,992.00,2237.00, 0.44
