Date/Time,07_02_19,11:33,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,28.0,,
Results,,,
Time,Green,Blue,Ratio
 0.50,484.00,525.00, 0.92
 1.00,871.00,1080.00, 0.81
 1.50,870.00,1138.00, 0.76
 2.00,889.00,1103.00, 0.81
 2.50,918.00,1110.00, 0.83
 3.00,927.00,1065.00, 0.87
 3.50,892.00,1144.00, 0.78
 4.00,930.00,1125.00, 0.83
 4.50,954.00,1118.00, 0.85
 5.00,975.00,1142.00, 0.85
 5.50,940.00,1112.00, 0.85
 6.00,965.00,1189.00, 0.81
 6.50,985.00,1205.00, 0.82
 7.00,986.00,1187.00, 0.83
 7.50,1034.00,1204.00, 0.86
 8.00,981.00,1242.00, 0.79
 8.50,1035.00,1163.00, 0.89
 9.00,1052.00,1216.00, 0.87
 9.50,1013.00,1194.00, 0.85
10.00,1034.00,1287.00, 0.80
10.50,1018.00,1230.00, 0.83
11.00,1050.00,1248.00, 0.84
11.50,1040.00,1247.00, 0.83
12.00,1068.00,1236.00, 0.86
12.50,973.00,1244.00, 0.78
13.00,1078.00,1288.00, 0.84
13.50,1052.00,1291.00, 0.81
14.00,1109.00,1308.00, 0.85
14.50,1036.00,1293.00, 0.80
15.00,1080.00,1303.00, 0.83
15.50,1090.00,1339.00, 0.81
16.00,1130.00,1281.00, 0.88
16.50,1141.00,1276.00, 0.89
17.00,1064.00,1353.00, 0.79
17.50,1009.00,1356.00, 0.74
18.00,1084.00,1339.00, 0.81
18.50,1096.00,1312.00, 0.84
19.00,1121.00,1376.00, 0.81
19.50,1118.00,1349.00, 0.83
20.00,1096.00,1338.00, 0.82
20.50,1128.00,1218.00, 0.93
21.00,1155.00,1340.00, 0.86
21.50,1064.00,1337.00, 0.80
22.00,1078.00,1288.00, 0.84
22.50,1113.00,1413.00, 0.79
23.00,1144.00,1309.00, 0.87
23.50,1077.00,1355.00, 0.79
24.00,1154.00,1369.00, 0.84
24.50,1110.00,1364.00, 0.81
25.00,1044.00,1366.00, 0.76
25.50,1039.00,1395.00, 0.74
26.00,1077.00,1449.00, 0.74
26.50,1077.00,1353.00, 0.80
27.00,1085.00,1378.00, 0.79
27.50,1141.00,1336.00, 0.85
28.00,1100.00,1393.00, 0.79
28.50,1089.00,1370.00, 0.79
29.00,1126.00,1377.00, 0.82
29.50,1123.00,1358.00, 0.83
30.00,1124.00,1359.00, 0.83
30.50,1134.00,1433.00, 0.79
31.00,1093.00,1357.00, 0.81
31.50,1105.00,1376.00, 0.80
32.00,1128.00,1403.00, 0.80
32.50,1110.00,1432.00, 0.78
33.00,1109.00,1352.00, 0.82
33.50,1096.00,1374.00, 0.80
34.00,1132.00,1399.00, 0.81
34.50,1087.00,1418.00, 0.77
35.00,1065.00,1440.00, 0.74
35.50,1144.00,1390.00, 0.82
36.00,1058.00,1401.00, 0.76
36.50,1113.00,1395.00, 0.80
37.00,1107.00,1389.00, 0.80
37.50,1110.00,1374.00, 0.81
38.00,1162.00,1399.00, 0.83
38.50,1146.00,1375.00, 0.83
39.00,1156.00,1409.00, 0.82
39.50,1102.00,1385.00, 0.80
40.00,1105.00,1337.00, 0.83
40.50,1066.00,1462.00, 0.73
41.00,1114.00,1366.00, 0.82
41.50,1027.00,1561.00, 0.66
42.00,1121.00,1397.00, 0.80
42.50,1063.00,1435.00, 0.74
43.00,1126.00,1390.00, 0.81
43.50,1073.00,1425.00, 0.75
44.00,1127.00,1438.00, 0.78
44.50,1034.00,1372.00, 0.75
45.00,1058.00,1474.00, 0.72
45.50,1058.00,1409.00, 0.75
46.00,1077.00,1461.00, 0.74
46.50,1095.00,1376.00, 0.80
47.00,1133.00,1402.00, 0.81
47.50,1095.00,1355.00, 0.81
48.00,1113.00,1362.00, 0.82
48.50,1060.00,1419.00, 0.75
49.00,1127.00,1401.00, 0.80
49.50,1151.00,1427.00, 0.81
50.00,1050.00,1385.00, 0.76
50.50,1177.00,1361.00, 0.86
51.00,1096.00,1355.00, 0.81
51.50,1126.00,1371.00, 0.82
52.00,1070.00,1288.00, 0.83
52.50,1093.00,1359.00, 0.80
53.00,1107.00,1402.00, 0.79
53.50,1078.00,1371.00, 0.79
54.00,1108.00,1373.00, 0.81
54.50,1021.00,1409.00, 0.72
55.00,1037.00,1353.00, 0.77
55.50,1088.00,1399.00, 0.78
56.00,1080.00,1393.00, 0.78
56.50,998.00,1405.00, 0.71
57.00,1096.00,1387.00, 0.79
57.50,1024.00,1403.00, 0.73
58.00,1071.00,1365.00, 0.78
58.50,1097.00,1409.00, 0.78
59.00,1071.00,1452.00, 0.74
59.50,1076.00,1382.00, 0.78
60.00,1069.00,1406.00, 0.76
60.50,1086.00,1433.00, 0.76
61.00,1078.00,1358.00, 0.79
61.50,1101.00,1389.00, 0.79
62.00,1032.00,1324.00, 0.78
62.50,1049.00,1340.00, 0.78
63.00,1023.00,1354.00, 0.76
63.50,1054.00,1377.00, 0.77
64.00,1102.00,1356.00, 0.81
64.50,1053.00,1318.00, 0.80
65.00,981.00,1381.00, 0.71
65.50,1042.00,1345.00, 0.77
66.00,1081.00,1444.00, 0.75
66.50,1072.00,1414.00, 0.76
