Date/Time,07_06_19,10:57,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,28.0,,
Results,,,
Time,Green,Blue,Ratio
 0.50,523.00,511.00, 1.02
 1.00,1499.00,1825.00, 0.82
 1.50,1535.00,1781.00, 0.86
 2.00,1590.00,1902.00, 0.84
 2.50,1519.00,1837.00, 0.83
 3.00,1620.00,1878.00, 0.86
 3.50,1616.00,1887.00, 0.86
 4.00,1546.00,1904.00, 0.81
 4.50,1591.00,1893.00, 0.84
 5.00,1546.00,1903.00, 0.81
 5.50,1515.00,1929.00, 0.79
 6.00,1558.00,1907.00, 0.82
 6.50,1585.00,1901.00, 0.83
 7.00,1539.00,1919.00, 0.80
 7.50,1616.00,1943.00, 0.83
 8.00,1580.00,1924.00, 0.82
 8.50,1564.00,1944.00, 0.80
 9.00,1584.00,1985.00, 0.80
 9.50,1649.00,1999.00, 0.82
10.00,1683.00,2017.00, 0.83
10.50,1547.00,1976.00, 0.78
11.00,1568.00,1903.00, 0.82
11.50,1563.00,1936.00, 0.81
12.00,1596.00,1953.00, 0.82
12.50,1594.00,1962.00, 0.81
13.00,1581.00,1977.00, 0.80
13.50,1628.00,1965.00, 0.83
14.00,1637.00,2048.00, 0.80
14.50,1516.00,1921.00, 0.79
15.00,1524.00,1957.00, 0.78
15.50,1554.00,1991.00, 0.78
16.00,1579.00,1957.00, 0.81
16.50,1662.00,1992.00, 0.83
17.00,1571.00,1993.00, 0.79
17.50,1593.00,2043.00, 0.78
18.00,1593.00,1997.00, 0.80
18.50,1629.00,1927.00, 0.85
19.00,1576.00,2005.00, 0.79
19.50,1657.00,2021.00, 0.82
20.00,1614.00,1936.00, 0.83
20.50,1643.00,1845.00, 0.89
21.00,1603.00,2053.00, 0.78
21.50,1593.00,2062.00, 0.77
22.00,1587.00,1955.00, 0.81
22.50,1588.00,2070.00, 0.77
23.00,1636.00,1983.00, 0.83
23.50,1537.00,1965.00, 0.78
24.00,1563.00,1954.00, 0.80
24.50,1620.00,1992.00, 0.81
25.00,1617.00,1921.00, 0.84
25.50,1460.00,2039.00, 0.72
26.00,1554.00,1953.00, 0.80
26.50,1546.00,1888.00, 0.82
27.00,1589.00,1996.00, 0.80
27.50,1493.00,2065.00, 0.72
28.00,1568.00,2110.00, 0.74
28.50,1593.00,1960.00, 0.81
29.00,1581.00,2094.00, 0.76
29.50,1538.00,1919.00, 0.80
30.00,1571.00,1978.00, 0.79
30.50,1566.00,1973.00, 0.79
31.00,1538.00,1984.00, 0.78
31.50,1537.00,2019.00, 0.76
32.00,1512.00,1932.00, 0.78
32.50,1509.00,2009.00, 0.75
33.00,1570.00,1983.00, 0.79
33.50,1534.00,2016.00, 0.76
34.00,1544.00,1923.00, 0.80
34.50,1538.00,1934.00, 0.80
35.00,1558.00,1989.00, 0.78
35.50,1536.00,2003.00, 0.77
36.00,1522.00,1963.00, 0.78
36.50,1498.00,2016.00, 0.74
37.00,1599.00,1921.00, 0.83
37.50,1486.00,1968.00, 0.76
38.00,1501.00,2084.00, 0.72
38.50,1500.00,2010.00, 0.75
39.00,1517.00,1926.00, 0.79
39.50,1463.00,1966.00, 0.74
40.00,1504.00,1921.00, 0.78
40.50,1547.00,1936.00, 0.80
41.00,1518.00,1956.00, 0.78
41.50,1578.00,1993.00, 0.79
42.00,1520.00,1894.00, 0.80
42.50,1468.00,1975.00, 0.74
43.00,1487.00,1941.00, 0.77
43.50,1574.00,1860.00, 0.85
44.00,1475.00,2007.00, 0.73
44.50,1584.00,1878.00, 0.84
45.00,1527.00,1864.00, 0.82
45.50,1504.00,1858.00, 0.81
46.00,1475.00,1818.00, 0.81
46.50,1536.00,1934.00, 0.79
47.00,1408.00,1904.00, 0.74
47.50,1535.00,1919.00, 0.80
48.00,1467.00,1926.00, 0.76
48.50,1505.00,1869.00, 0.81
49.00,1429.00,1864.00, 0.77
49.50,1495.00,1879.00, 0.80
50.00,1530.00,1912.00, 0.80
50.50,1434.00,1935.00, 0.74
51.00,1467.00,1919.00, 0.76
51.50,1490.00,1952.00, 0.76
52.00,1475.00,1839.00, 0.80
52.50,1548.00,1874.00, 0.83
53.00,1422.00,1881.00, 0.76
53.50,1583.00,1907.00, 0.83
54.00,1446.00,1833.00, 0.79
54.50,1449.00,1930.00, 0.75
55.00,1413.00,1979.00, 0.71
55.50,1507.00,1877.00, 0.80
56.00,1435.00,1928.00, 0.74
56.50,1521.00,1863.00, 0.82
57.00,1405.00,1807.00, 0.78
57.50,1477.00,1833.00, 0.81
58.00,1434.00,1903.00, 0.75
58.50,1398.00,1886.00, 0.74
59.00,1425.00,1879.00, 0.76
59.50,1449.00,1844.00, 0.79
60.00,1428.00,1869.00, 0.76
60.50,1478.00,1884.00, 0.78
61.00,1375.00,1899.00, 0.72
61.50,1423.00,1887.00, 0.75
62.00,1486.00,1804.00, 0.82
62.50,1472.00,1930.00, 0.76
63.00,1427.00,1815.00, 0.79
63.50,1475.00,1866.00, 0.79
64.00,1479.00,1835.00, 0.81
64.50,1445.00,1822.00, 0.79
65.00,1424.00,1798.00, 0.79
65.50,1396.00,1792.00, 0.78
66.00,1352.00,1801.00, 0.75
