Date/Time,07_03_19,11:24,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,28.0,,
Results,,,
Time,Green,Blue,Ratio
 0.50,136.00,202.00, 0.67
 1.00,238.00,374.00, 0.64
 1.50,243.00,370.00, 0.66
 2.00,204.00,368.00, 0.55
 2.50,232.00,373.00, 0.62
 3.00,233.00,350.00, 0.67
 3.50,219.00,363.00, 0.60
 4.00,229.00,337.00, 0.68
 4.50,237.00,392.00, 0.60
 5.00,222.00,406.00, 0.55
 5.50,257.00,388.00, 0.66
 6.00,234.00,399.00, 0.59
 6.50,224.00,382.00, 0.59
 7.00,255.00,371.00, 0.69
 7.50,253.00,435.00, 0.58
 8.00,240.00,411.00, 0.58
 8.50,251.00,402.00, 0.62
 9.00,244.00,401.00, 0.61
 9.50,228.00,417.00, 0.55
10.00,246.00,413.00, 0.60
10.50,255.00,423.00, 0.60
11.00,275.00,416.00, 0.66
11.50,257.00,429.00, 0.60
12.00,287.00,443.00, 0.65
12.50,305.00,445.00, 0.69
13.00,292.00,442.00, 0.66
13.50,271.00,445.00, 0.61
14.00,275.00,485.00, 0.57
14.50,261.00,433.00, 0.60
15.00,269.00,495.00, 0.54
15.50,275.00,445.00, 0.62
16.00,279.00,486.00, 0.57
16.50,279.00,488.00, 0.57
17.00,294.00,480.00, 0.61
17.50,288.00,491.00, 0.59
18.00,312.00,497.00, 0.63
18.50,273.00,450.00, 0.61
19.00,284.00,471.00, 0.60
19.50,293.00,504.00, 0.58
20.00,309.00,537.00, 0.58
20.50,295.00,544.00, 0.54
21.00,341.00,505.00, 0.68
21.50,334.00,521.00, 0.64
22.00,323.00,500.00, 0.65
22.50,318.00,522.00, 0.61
23.00,296.00,544.00, 0.54
23.50,329.00,573.00, 0.57
24.00,367.00,585.00, 0.63
24.50,323.00,566.00, 0.57
25.00,318.00,569.00, 0.56
25.50,352.00,543.00, 0.65
26.00,316.00,568.00, 0.56
26.50,376.00,560.00, 0.67
27.00,339.00,580.00, 0.58
27.50,368.00,603.00, 0.61
28.00,369.00,588.00, 0.63
28.50,342.00,621.00, 0.55
29.00,351.00,640.00, 0.55
29.50,336.00,624.00, 0.54
30.00,385.00,614.00, 0.63
30.50,361.00,607.00, 0.59
31.00,400.00,619.00, 0.65
31.50,377.00,664.00, 0.57
32.00,356.00,648.00, 0.55
32.50,339.00,675.00, 0.50
33.00,384.00,648.00, 0.59
33.50,390.00,697.00, 0.56
34.00,385.00,670.00, 0.57
34.50,381.00,673.00, 0.57
35.00,396.00,690.00, 0.57
35.50,403.00,680.00, 0.59
36.00,410.00,666.00, 0.62
36.50,409.00,741.00, 0.55
37.00,425.00,675.00, 0.63
37.50,419.00,710.00, 0.59
38.00,418.00,675.00, 0.62
38.50,420.00,696.00, 0.60
39.00,430.00,692.00, 0.62
39.50,433.00,670.00, 0.65
40.00,446.00,711.00, 0.63
40.50,428.00,755.00, 0.57
41.00,407.00,714.00, 0.57
41.50,407.00,735.00, 0.55
42.00,457.00,711.00, 0.64
42.50,401.00,794.00, 0.51
43.00,449.00,730.00, 0.62
43.50,489.00,764.00, 0.64
44.00,448.00,739.00, 0.61
44.50,465.00,770.00, 0.60
45.00,452.00,749.00, 0.60
45.50,431.00,732.00, 0.59
46.00,442.00,714.00, 0.62
46.50,477.00,739.00, 0.65
47.00,490.00,760.00, 0.64
47.50,442.00,810.00, 0.55
48.00,474.00,830.00, 0.57
48.50,434.00,755.00, 0.57
49.00,448.00,775.00, 0.58
49.50,452.00,751.00, 0.60
50.00,509.00,775.00, 0.66
50.50,509.00,801.00, 0.64
51.00,460.00,776.00, 0.59
51.50,500.00,804.00, 0.62
52.00,481.00,825.00, 0.58
52.50,460.00,827.00, 0.56
53.00,474.00,824.00, 0.58
53.50,480.00,832.00, 0.58
54.00,485.00,779.00, 0.62
54.50,442.00,826.00, 0.54
55.00,490.00,793.00, 0.62
55.50,497.00,808.00, 0.62
56.00,490.00,839.00, 0.58
56.50,452.00,838.00, 0.54
57.00,541.00,864.00, 0.63
57.50,461.00,844.00, 0.55
58.00,517.00,818.00, 0.63
58.50,492.00,807.00, 0.61
59.00,497.00,857.00, 0.58
59.50,508.00,838.00, 0.61
60.00,487.00,897.00, 0.54
60.50,521.00,857.00, 0.61
61.00,580.00,900.00, 0.64
61.50,542.00,857.00, 0.63
62.00,536.00,893.00, 0.60
62.50,511.00,832.00, 0.61
63.00,524.00,849.00, 0.62
63.50,525.00,851.00, 0.62
64.00,487.00,824.00, 0.59
64.50,542.00,895.00, 0.61
65.00,543.00,884.00, 0.61
65.50,560.00,864.00, 0.65
66.00,536.00,922.00, 0.58
66.50,548.00,931.00, 0.59
67.00,551.00,851.00, 0.65
67.50,561.00,948.00, 0.59
68.00,545.00,920.00, 0.59
68.50,532.00,900.00, 0.59
69.00,551.00,907.00, 0.61
69.50,546.00,845.00, 0.65
70.00,558.00,887.00, 0.63
70.50,557.00,925.00, 0.60
71.00,581.00,844.00, 0.69
71.50,560.00,901.00, 0.62
72.00,551.00,892.00, 0.62
72.50,611.00,928.00, 0.66
73.00,530.00,872.00, 0.61
73.50,613.00,909.00, 0.67
